,u,g,r,i,z,class,redshift
46686,18.34633,17.238789999999998,16.39368,15.99042,15.625370000000002,1.0,0.06826908
46693,18.366870000000002,17.25252,16.73346,16.355610000000002,16.1727,1.0,0.06470399
46694,18.4608,17.24825,16.76795,16.44758,16.26489,1.0,0.05531858
46707,19.01911,17.79436,17.29231,17.00624,16.836489999999998,1.0,0.0608823
46713,19.10227,17.52264,16.828670000000002,16.5161,16.23838,1.0,0.03313974
46721,19.07609,17.41762,16.56525,16.13564,15.837010000000001,1.0,0.07563847
46723,18.97628,17.74878,17.27143,16.9737,16.78612,1.0,0.06467251
46732,18.17194,17.0976,16.62065,16.38456,16.24407,1.0,0.0174623
46735,18.951079999999997,17.3313,16.77996,16.47699,16.243570000000002,1.0,0.03379111
46738,19.11765,17.65626,17.0511,16.79801,16.65865,0.0,9.760037e-05
46742,18.89539,17.6504,17.08999,16.770970000000002,16.55728,1.0,0.05643721
46755,19.24717,17.702360000000002,16.91595,16.48844,16.164279999999998,1.0,0.05593275
46791,18.390710000000002,16.99371,16.33599,15.97645,15.69447,1.0,0.055585300000000004
46811,19.14801,17.498910000000002,16.81697,16.48542,16.26775,1.0,0.03822606
46828,18.69872,17.473010000000002,16.85033,16.45965,16.237029999999997,1.0,0.06985616
46843,19.13712,17.23222,16.3686,15.97267,15.674970000000002,1.0,0.07368835
46849,18.735870000000002,17.71756,17.30046,16.89559,16.77684,1.0,0.07130802
46860,19.19419,17.69504,17.125120000000003,16.88901,16.79083,0.0,0.0001791498
46862,18.390710000000002,17.165689999999998,16.62836,16.27446,16.06126,1.0,0.07680677
46879,18.4191,17.04673,16.48473,16.26444,16.172279999999997,0.0,0.0003016875
46887,18.97445,17.50843,16.74691,16.31234,15.97894,1.0,0.05165903
46888,18.38662,17.37731,16.93904,16.75254,16.67616,0.0,0.0001537841
46890,19.07191,17.326810000000002,16.5366,16.162470000000003,15.88045,1.0,0.04254948
46895,18.86919,17.70158,17.133689999999998,16.72895,16.51248,1.0,0.07069602
46898,18.792089999999998,17.24699,16.50979,16.10088,15.793120000000002,1.0,0.07133467
46918,18.27664,16.98399,16.41672,16.19289,16.0293,0.0,0.0005393733999999999
46963,18.446479999999998,17.20071,16.65096,16.32319,16.09764,1.0,0.05444837
46965,18.811329999999998,17.3208,16.68502,16.362460000000002,16.10624,1.0,0.04081082
46986,18.5658,17.37595,16.92765,16.59768,16.4078,1.0,0.07805429
46988,18.86841,17.26057,16.882929999999998,16.63235,16.48777,1.0,0.03981688
46991,18.378079999999997,17.0888,16.56421,16.23624,16.04731,1.0,0.06328439
47010,18.7741,17.44776,16.90413,16.600089999999998,16.46829,1.0,0.06559666
47013,19.12916,17.530179999999998,16.649070000000002,16.17924,15.818370000000002,1.0,0.06804299999999999
47018,18.29012,17.155260000000002,16.73571,16.58999,16.52199,0.0,0.0001947823
47020,18.87811,17.5351,16.955270000000002,16.62239,16.49728,1.0,0.07740382
47023,19.00157,17.6837,17.10667,16.8404,16.73164,0.0,0.0001503338
47034,18.82106,17.60156,17.14773,16.8551,16.70218,1.0,0.07117002
47043,18.76809,17.44405,16.86295,16.49505,16.297729999999998,1.0,0.07166236
47058,18.37399,16.948,16.26345,15.89497,15.64429,1.0,0.05253056
47070,19.1173,17.1934,16.32299,15.89134,15.542729999999999,1.0,0.05743701
47088,18.98265,17.13833,16.26115,15.879620000000001,15.545589999999999,1.0,0.06183439
47095,18.67299,17.38728,16.80258,16.51285,16.249679999999998,1.0,0.03050371
47098,18.84229,17.64145,17.069110000000002,16.73798,16.53547,1.0,0.04626176
47101,18.81549,17.48372,17.02176,16.748260000000002,16.616529999999997,1.0,0.05462833
47118,18.644000000000002,17.4723,17.07641,16.80779,16.69279,1.0,0.03594079
47119,18.87592,17.72251,17.24268,16.9869,16.899620000000002,1.0,0.07483991
47138,19.24783,17.155739999999998,16.298,15.95505,15.757670000000001,0.0,3.406449e-06
47139,19.12285,17.54328,16.66625,16.15404,15.81666,1.0,0.07271119999999999
47147,18.622529999999998,17.24511,16.55844,16.13589,15.85026,1.0,0.05071484
47150,18.35566,17.25535,16.890620000000002,16.57118,16.46035,1.0,0.06693088
47159,18.92014,17.665229999999998,17.21921,16.81747,16.8221,1.0,0.06014169999999999
47189,19.124879999999997,17.36204,16.48499,16.06017,15.728370000000002,1.0,0.05602745
47190,18.90051,17.48021,16.986829999999998,16.7107,16.53697,1.0,0.05531799
47204,18.2688,17.22295,16.82933,16.704320000000003,16.533170000000002,1.0,0.01822616
47206,18.85665,17.598879999999998,17.056520000000003,16.706129999999998,16.48661,1.0,0.06691129
47209,19.25169,17.42805,16.72071,16.465139999999998,16.35427,0.0,0.00035648550000000003
47228,19.144389999999998,17.79628,17.26077,16.92642,16.69931,1.0,0.05602174
47232,19.00704,17.34626,16.55102,16.16421,15.89311,1.0,0.06587596
47239,18.51941,17.0561,16.42182,16.04986,15.825270000000002,1.0,0.06961749
47265,19.06954,17.573529999999998,17.00773,16.63577,16.40372,1.0,0.04665595
47267,18.90118,17.57541,16.83241,16.31485,16.03023,1.0,0.07347628
47282,18.81237,17.669729999999998,17.19034,16.936420000000002,16.7707,1.0,0.03849526
47291,18.69718,16.984189999999998,16.38844,15.998510000000001,15.776270000000002,1.0,0.07722652
47294,19.11843,17.59516,16.96895,16.72015,16.59287,0.0,0.0008011016999999999
47297,19.1963,17.62823,16.90255,16.52315,16.23975,1.0,0.03209264
47298,18.91366,17.56097,17.17655,16.93221,16.872239999999998,1.0,0.04174268
47301,18.54177,17.20249,16.58703,16.15198,15.96899,1.0,0.06823056
47309,19.154139999999998,17.68913,16.90369,16.50035,16.19908,1.0,0.07464193
47313,18.5158,17.55978,17.1863,17.01747,16.85902,1.0,0.02307738
47315,19.01077,17.71959,17.30658,17.05823,16.89242,1.0,0.04646448
47328,19.24239,17.235870000000002,16.31082,15.88212,15.54785,1.0,0.07148264
47335,19.07166,17.15429,16.2853,15.899529999999999,15.567620000000002,1.0,0.06399576
47351,18.195439999999998,17.270120000000002,16.98321,16.881420000000002,16.86743,0.0,0.0009781776
47362,19.0095,17.57105,16.9384,16.5363,16.2702,1.0,0.06442473
47373,18.375529999999998,17.186770000000003,16.724529999999998,16.56229,16.507920000000002,0.0,6.068906999999999e-05
47375,18.77427,17.55538,17.02959,16.68189,16.52388,1.0,0.06836132
